TIME,DQN
5.476388888888889,0.607
5.530833333333334,0.0
5.584722222222222,0.055
5.639166666666667,0.13
5.6930555555555555,0.06
5.747222222222222,0.049
5.801666666666667,0.0
5.855,0.0
5.9094444444444445,0.0
5.963333333333333,0.027
6.0175,0.041
6.071666666666666,0.328
6.126666666666667,0.256
6.1825,0.315
6.2375,0.303
6.291666666666667,0.022
6.346111111111111,0.015
6.3997222222222225,0.038
6.453888888888889,0.007
6.508333333333334,0.177
6.5633333333333335,0.027
6.6177777777777775,0.008
6.671666666666667,0.23
6.726111111111111,0.0
6.780277777777778,0.0
6.834444444444444,0.0
6.887777777777778,0.0
6.9430555555555555,0.091
7.000277777777778,0.206
7.057222222222222,0.041
7.1125,0.0
7.1658333333333335,0.152
7.220555555555555,0.0
7.274444444444445,0.0
7.328888888888889,0.007
7.383333333333334,0.0
7.437222222222222,0.195
7.4911111111111115,0.0
7.545277777777778,0.045
7.600555555555555,0.0
7.656666666666666,0.441
7.713333333333333,0.013
7.768055555555556,0.017
7.822777777777778,0.008
7.8775,0.0
7.933333333333334,0.571
7.987222222222222,0.0
8.040833333333333,0.086
8.095555555555556,0.0
8.150555555555556,0.27
8.206111111111111,0.201
8.260833333333334,0.79
8.315,0.007
8.36888888888889,0.008
8.42388888888889,0.014
8.484444444444444,0.475
8.545555555555556,0.243
8.602777777777778,0.0
8.657222222222222,0.717
8.711388888888889,0.0
8.765833333333333,0.008
8.820277777777777,0.396
8.874444444444444,0.016
8.928888888888888,0.0
8.983611111111111,0.03
9.038333333333334,0.375
9.092222222222222,0.698
9.145555555555555,0.0
9.199444444444444,0.322
9.25361111111111,0.039
9.307777777777778,0.0
9.362222222222222,0.038
9.416944444444445,0.0
9.470555555555556,0.054
9.525833333333333,0.18
9.580555555555556,0.0
9.635277777777778,0.0
9.69,0.505
9.745,0.007
9.79861111111111,0.023
9.853055555555555,0.0
9.907777777777778,0.0
9.963055555555556,0.0
10.018333333333333,0.008
10.073888888888888,0.0
10.131666666666666,0.622
10.189722222222223,0.0
10.248333333333333,0.44
10.303055555555556,0.394
10.357222222222223,0.009
10.4125,0.586
10.466111111111111,0.016
10.520555555555555,0.77
10.575,0.236
10.633333333333333,0.0
10.693333333333333,0.197
10.7525,0.042
10.805833333333334,0.0
10.859166666666667,0.436
10.912222222222223,0.0
10.966944444444444,0.02
11.02111111111111,0.112
11.076666666666666,0.495
11.130555555555556,0.372
11.184166666666666,0.0
11.239166666666666,1.069
11.294444444444444,0.519
11.347777777777777,0.008
11.401666666666667,0.326
11.4575,0.0
11.515833333333333,0.315
11.573611111111111,0.663
11.628333333333334,0.0
11.68361111111111,0.556
11.738611111111112,0.0
11.794722222222223,0.145
11.85138888888889,0.0
11.9075,0.128
11.961944444444445,0.341
12.016388888888889,0.405
12.071111111111112,0.129
12.125833333333333,0.388
12.179722222222223,0.106
12.234444444444444,0.542
12.289166666666667,0.742
12.342777777777778,0.03
12.397222222222222,0.213
12.450833333333334,0.0
12.504722222222222,0.0
12.55861111111111,0.127
12.612777777777778,0.381
12.66611111111111,0.036
12.719722222222222,0.0
12.77361111111111,0.0
12.8275,0.35
12.881388888888889,0.146
12.935555555555556,0.381
12.991388888888888,0.0
13.046111111111111,0.007
13.100555555555555,0.007
13.154722222222222,0.231
13.209166666666667,0.008
13.26361111111111,0.281
13.317777777777778,0.0
13.372222222222222,0.535
13.426388888888889,0.0
13.481388888888889,0.183
13.535833333333333,0.0
13.591111111111111,0.0
13.650555555555556,0.08
13.710555555555555,0.0
13.768333333333333,0.482
13.8225,0.307
13.876666666666667,0.0
13.9325,0.007
13.992222222222223,0.54
14.0525,0.421
14.108611111111111,0.0
14.163055555555555,0.492
14.2175,0.0
14.270833333333334,0.0
14.324166666666667,0.0
14.3775,0.08
14.431666666666667,0.0
14.48611111111111,0.185
14.540555555555555,0.538
14.595277777777778,0.022
14.650555555555556,0.25
14.706388888888888,0.372
14.761111111111111,0.0
14.815833333333334,0.444
14.870277777777778,0.163
14.92388888888889,0.042
14.97888888888889,0.651
15.033055555555556,0.065
15.087222222222222,0.058
15.141111111111112,0.019
15.195555555555556,0.0
15.249166666666667,0.0
15.30861111111111,0.04
15.368333333333334,0.0
15.426944444444445,0.545
15.481944444444444,0.702
15.536388888888888,0.5
15.590555555555556,0.006
15.644722222222223,0.223
15.7,0.033
15.754166666666666,0.038
15.80888888888889,0.484
15.863055555555556,0.73
15.918055555555556,0.537
15.972777777777777,0.0
16.026666666666667,0.0
16.08138888888889,0.434
16.135555555555555,0.006
16.190277777777776,0.986
16.245277777777776,0.316
16.299722222222222,0.0
16.35333333333333,0.0
16.408055555555556,0.403
16.461666666666666,0.568
16.516111111111112,0.0
16.57,0.0
16.625833333333333,0.0
16.683611111111112,0.809
16.740833333333335,0.039
16.79611111111111,0.933
16.850277777777777,0.0
16.904444444444444,0.008
16.95916666666667,0.094
17.014166666666668,0.689
17.06888888888889,0.37
17.123055555555556,0.259
17.1775,0.372
17.2325,0.089
17.2875,0.014
17.342777777777776,0.0
17.398333333333333,0.0
17.4525,0.008
17.50611111111111,0.073
17.560277777777777,0.344
17.614722222222223,0.007
17.669722222222223,0.57
17.724166666666665,0.015
17.779166666666665,0.029
17.833333333333332,0.007
17.8875,0.0
17.945,0.289
18.005555555555556,0.0
18.066111111111113,0.0
18.121944444444445,0.055
18.175555555555555,0.031
18.22972222222222,0.0
18.283333333333335,0.13
18.3375,0.049
18.391666666666666,0.373
18.446666666666665,0.063
18.501666666666665,0.254
18.557222222222222,0.0
18.611666666666668,0.039
18.66611111111111,0.045
18.720555555555556,0.074
18.774722222222223,0.008
18.829722222222223,0.0
18.884722222222223,0.14
18.938333333333333,0.0
18.99277777777778,0.225
19.04722222222222,0.0
19.100833333333334,0.0
19.155277777777776,0.06
19.210277777777776,0.54
19.264166666666668,0.008
19.319166666666668,0.708
19.374166666666667,0.5
19.42861111111111,0.357
19.482222222222223,0.0
19.536944444444444,0.0
19.591666666666665,0.375
19.645555555555557,0.023
19.700555555555557,0.456
19.754166666666666,0.028
19.808611111111112,0.025
19.863055555555555,0.389
19.916944444444443,0.319
19.974444444444444,0.0
20.031666666666666,0.537
20.08888888888889,0.0
20.1425,0.028
20.19611111111111,0.0
20.250555555555554,0.413
20.304166666666667,0.0
20.359166666666667,0.58
20.413333333333334,0.019
20.47,0.0
20.526666666666667,0.11
20.58388888888889,0.0
20.639166666666668,0.025
20.694166666666668,0.094
20.749444444444446,0.0
20.803055555555556,0.008
20.8575,0.267
20.911666666666665,0.017
20.966944444444444,0.084
21.02111111111111,0.0
21.075277777777778,0.02
21.129166666666666,0.015
21.183888888888887,0.448
21.238611111111112,0.0
21.294166666666666,0.39
21.349166666666665,0.365
21.40388888888889,0.191
21.45777777777778,0.0
21.511666666666667,0.055
21.565277777777776,0.074
21.620277777777776,0.041
21.675555555555555,0.007
21.73,0.0
21.78638888888889,0.296
21.843611111111112,0.0
21.900833333333335,0.0
21.95722222222222,0.424
22.012777777777778,0.0
22.06833333333333,0.0
22.12388888888889,0.25
22.17861111111111,0.0
22.233888888888888,0.5
22.2875,0.0
22.34111111111111,0.085
22.39527777777778,0.541
22.453333333333333,0.0
22.51361111111111,0.06
22.573611111111113,0.0
22.628055555555555,0.057
22.681944444444444,0.256
22.73611111111111,0.0
22.79111111111111,0.008
22.84638888888889,0.0
22.90138888888889,0.049
22.95638888888889,0.055
23.010833333333334,0.0
23.065277777777776,0.0
23.12,0.309
23.17388888888889,0.068
23.22861111111111,0.349
23.2825,0.0
23.336111111111112,0.025
23.39,0.312
23.444444444444443,0.0
23.50027777777778,0.0
23.55611111111111,0.081
23.61111111111111,0.673
23.664722222222224,0.016
23.718888888888888,0.243
23.773055555555555,0.646
23.826944444444443,0.0
23.880555555555556,0.009
23.93611111111111,0.013
23.99361111111111,0.0
24.051666666666666,0.049
24.107777777777777,0.0
24.1625,0.0
24.21638888888889,0.0
24.27111111111111,0.439
24.325555555555557,0.0
24.379722222222224,0.0
24.435,0.0
24.489444444444445,0.0
24.543333333333333,0.009
24.59777777777778,0.107
24.651666666666667,0.479
24.705833333333334,0.061
24.759722222222223,0.0
24.815833333333334,0.009
24.872222222222224,0.0
24.928055555555556,0.191
24.9825,0.067
25.03638888888889,0.103
25.090555555555557,0.42
25.14361111111111,0.016
25.196944444444444,0.292
25.25027777777778,0.0
25.30361111111111,0.0
25.357777777777777,0.047
25.41111111111111,0.049
25.464444444444446,0.053
25.518333333333334,0.0
25.571944444444444,0.018
25.63,0.014
25.689444444444444,0.119
25.74888888888889,0.675
25.80361111111111,0.007
25.85861111111111,0.0
25.913611111111113,0.0
25.97,0.183
26.02638888888889,0.043
26.083055555555557,0.59
26.141944444444444,0.02
26.201666666666668,0.628
26.260555555555555,0.0
26.314166666666665,0.101
26.36722222222222,0.0
26.420555555555556,0.0
26.474722222222223,0.0
26.52861111111111,0.0
26.58277777777778,0.314
26.636111111111113,0.008
26.69,0.0
26.745,0.0
26.799444444444443,0.0
26.855,0.0
